,timestamp_optimized,arm_order,arm1,arm2,arm3,timestamp_measured,power_dbm,run_index,elapsed_hours,measure_delay_s,arm_mean,arm_spread,arm_range,hour,date
count,496,496,496.0,496.0,496.0,496,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496
unique,,2,,,,,,,,,,,,,3
top,,QHQ,,,,,,,,,,,,,2026-06-11
freq,,249,,,,,,,,,,,,,288
mean,2026-06-11 12:23:03.637096704,,90.20564516129032,82.49193548387096,84.43346774193549,2026-06-11 12:23:08.649193728,-27.906661895161292,248.5,20.642680331541218,5.012096774193548,85.71034946236558,44.44559818187793,82.96774193548387,11.431451612903226,
min,2026-06-10 15:44:30,,0.0,0.0,0.0,2026-06-10 15:44:35,-33.2651,1.0,0.0,5.0,20.666666666666668,1.1547005383792515,2.0,0.0,
25%,2026-06-11 02:04:19.750000128,,34.75,36.75,43.0,2026-06-11 02:04:25,-30.064349999999997,124.75,10.330555555555556,5.0,61.333333333333336,23.563727191979815,46.0,5.0,
50%,2026-06-11 12:23:05.500000,,89.0,85.0,96.0,2026-06-11 12:23:10.500000,-28.53085,248.5,20.643194444444443,5.0,79.0,40.290517334690826,76.0,11.0,
75%,2026-06-11 22:41:48,,152.0,127.25,126.0,2026-06-11 22:41:53,-26.56845,372.25,30.955,5.0,107.58333333333333,65.52840650116421,120.0,18.0,
max,2026-06-12 09:00:43,,154.0,154.0,154.0,2026-06-12 09:00:48,-14.1223,496.0,41.27027777777778,6.0,148.0,88.91194145520237,154.0,23.0,
std,,,55.77887482872601,49.624243988174264,48.185789523373764,,3.112452126659478,143.32713164877984,11.944650918940495,0.10942844490912638,30.904212759709353,23.49430961631236,42.45547837657436,7.424185069700857,
