timestamp_optimized,arm_order,arm1,arm2,arm3,timestamp_measured,power_dbm
2026-06-10T15:44:30+02:00,QHQ,154,142,102,2026-06-10T15:44:35+02:00,-30.7586
2026-06-10T15:50:31+02:00,QHQ,129,9,16,2026-06-10T15:50:36+02:00,-25.9069
2026-06-10T15:55:27+02:00,HQQ,42,80,104,2026-06-10T15:55:32+02:00,-19.3929
2026-06-10T16:00:24+02:00,QHQ,81,101,121,2026-06-10T16:00:29+02:00,-28.1389
2026-06-10T16:05:34+02:00,HQQ,82,2,15,2026-06-10T16:05:39+02:00,-30.5214
2026-06-10T16:10:33+02:00,QHQ,142,30,0,2026-06-10T16:10:38+02:00,-21.2473
2026-06-10T16:15:28+02:00,HQQ,95,109,142,2026-06-10T16:15:33+02:00,-29.0706
2026-06-10T16:20:24+02:00,QHQ,42,88,124,2026-06-10T16:20:29+02:00,-28.5564
2026-06-10T16:25:30+02:00,HQQ,154,148,129,2026-06-10T16:25:35+02:00,-29.6749
2026-06-10T16:30:26+02:00,QHQ,29,89,118,2026-06-10T16:30:31+02:00,-27.5239
2026-06-10T16:35:27+02:00,HQQ,115,19,34,2026-06-10T16:35:32+02:00,-31.8683
2026-06-10T16:40:25+02:00,QHQ,18,19,120,2026-06-10T16:40:30+02:00,-27.4528
2026-06-10T16:45:35+02:00,HQQ,154,37,65,2026-06-10T16:45:40+02:00,-26.7101
2026-06-10T16:50:30+02:00,QHQ,145,43,5,2026-06-10T16:50:35+02:00,-26.8969
2026-06-10T16:55:43+02:00,HQQ,154,47,3,2026-06-10T16:55:48+02:00,-26.8684
2026-06-10T17:00:26+02:00,QHQ,22,86,128,2026-06-10T17:00:31+02:00,-27.7522
2026-06-10T17:05:33+02:00,HQQ,154,49,5,2026-06-10T17:05:38+02:00,-27.874
2026-06-10T17:10:30+02:00,QHQ,72,117,139,2026-06-10T17:10:35+02:00,-26.1117
2026-06-10T17:15:32+02:00,HQQ,154,40,80,2026-06-10T17:15:37+02:00,-27.2549
2026-06-10T17:20:26+02:00,QHQ,144,146,144,2026-06-10T17:20:31+02:00,-18.1876
2026-06-10T17:25:32+02:00,HQQ,154,40,80,2026-06-10T17:25:38+02:00,-25.1658
2026-06-10T17:30:37+02:00,QHQ,150,148,145,2026-06-10T17:30:42+02:00,-16.356
2026-06-10T17:35:25+02:00,HQQ,31,88,139,2026-06-10T17:35:30+02:00,-22.2614
2026-06-10T17:40:25+02:00,QHQ,25,86,133,2026-06-10T17:40:30+02:00,-23.6153
2026-06-10T17:45:28+02:00,HQQ,35,16,114,2026-06-10T17:45:33+02:00,-24.1574
2026-06-10T17:50:28+02:00,QHQ,46,12,98,2026-06-10T17:50:33+02:00,-23.8172
2026-06-10T17:55:31+02:00,HQQ,153,148,143,2026-06-10T17:55:36+02:00,-17.4521
2026-06-10T18:00:34+02:00,QHQ,154,47,0,2026-06-10T18:00:39+02:00,-28.5054
2026-06-10T18:05:30+02:00,HQQ,154,47,1,2026-06-10T18:05:35+02:00,-26.2713
2026-06-10T18:10:31+02:00,QHQ,154,46,0,2026-06-10T18:10:36+02:00,-27.6621
2026-06-10T18:15:26+02:00,HQQ,133,37,7,2026-06-10T18:15:31+02:00,-30.5434
2026-06-10T18:20:25+02:00,QHQ,24,85,126,2026-06-10T18:20:31+02:00,-25.2597
2026-06-10T18:25:26+02:00,HQQ,18,65,136,2026-06-10T18:25:31+02:00,-30.6667
2026-06-10T18:30:26+02:00,QHQ,37,94,129,2026-06-10T18:30:31+02:00,-22.5376
2026-06-10T18:35:34+02:00,HQQ,150,42,1,2026-06-10T18:35:39+02:00,-27.7502
2026-06-10T18:40:29+02:00,QHQ,24,14,111,2026-06-10T18:40:34+02:00,-28.0654
2026-06-10T18:45:26+02:00,HQQ,87,115,142,2026-06-10T18:45:31+02:00,-32.0157
2026-06-10T18:50:26+02:00,QHQ,22,82,119,2026-06-10T18:50:31+02:00,-27.8323
2026-06-10T18:55:31+02:00,HQQ,154,148,136,2026-06-10T18:55:36+02:00,-23.631
2026-06-10T19:00:34+02:00,QHQ,153,43,0,2026-06-10T19:00:39+02:00,-24.006
2026-06-10T19:05:27+02:00,HQQ,75,9,50,2026-06-10T19:05:32+02:00,-24.7322
2026-06-10T19:10:29+02:00,QHQ,84,122,121,2026-06-10T19:10:34+02:00,-30.5508
2026-06-10T19:15:26+02:00,HQQ,102,118,147,2026-06-10T19:15:31+02:00,-30.6402
2026-06-10T19:20:32+02:00,QHQ,5,13,132,2026-06-10T19:20:37+02:00,-31.7355
2026-06-10T19:25:33+02:00,HQQ,154,35,57,2026-06-10T19:25:38+02:00,-27.0425
2026-06-10T19:30:27+02:00,QHQ,36,11,93,2026-06-10T19:30:32+02:00,-24.6632
2026-06-10T19:35:33+02:00,HQQ,83,14,8,2026-06-10T19:35:38+02:00,-33.1094
2026-06-10T19:40:29+02:00,QHQ,143,37,0,2026-06-10T19:40:34+02:00,-27.9261
2026-06-10T19:45:30+02:00,HQQ,147,136,144,2026-06-10T19:45:35+02:00,-27.9993
2026-06-10T19:50:28+02:00,QHQ,20,17,111,2026-06-10T19:50:33+02:00,-26.5662
2026-06-10T19:55:25+02:00,HQQ,73,103,140,2026-06-10T19:55:30+02:00,-29.693
2026-06-10T20:00:27+02:00,QHQ,19,80,109,2026-06-10T20:00:32+02:00,-26.6301
2026-06-10T20:05:28+02:00,HQQ,107,115,147,2026-06-10T20:05:33+02:00,-29.5471
